launch_id,name,status,window_start,window_end,provider,launch_site_name,launch_site_location,orbit
429277e6-dc65-4166-a556-44edc39d71ea,Falcon 9 Block 5 | Starlink Group 7-10,Launch Successful,2024-01-14T08:59:30Z,2024-01-14T08:59:30Z,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
839c1427-45db-4b88-ae41-bb666c1dd097,Falcon 9 Block 5 | Starlink Group 6-37,Launch Successful,2024-01-15T00:27:00Z,2024-01-15T04:23:40Z,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
e11c7aee-b185-49d5-8596-65959d2e009b,Long March 7 | Tianzhou-7,Launch Successful,2024-01-17T14:17:00Z,2024-01-17T14:34:00Z,China Aerospace Science and Technology Corporation,201,"Wenchang Space Launch Site, People's Republic of China","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
da48063e-b50f-4602-adab-ad7331ee6d82,Falcon 9 Block 5 | Axiom Space Mission 3,Launch Successful,2024-01-18T21:49:11Z,2024-01-18T21:49:11Z,SpaceX,Launch Complex 39A,"Kennedy Space Center, FL, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
3f01529e-c4e9-4e56-9820-f42d360dd1b3,Qaem 100 | Soraya,Launch Successful,2024-01-20T06:28:34Z,2024-01-20T06:28:34Z,Islamic Revolutionary Guard Corps Aerospace Force,Launch Platform,"Shahrud Missile Test Site, Islamic Republic of Iran","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
23ba3860-a7e8-4a81-8f41-9c9958e34e38,Kinetica 1 | Flight 3,Launch Successful,2024-01-23T03:52:00Z,2024-01-23T04:16:00Z,CAS Space,Launch Area 130,"Jiuquan Satellite Launch Center, People's Republic of China","{'id': 17, 'name': 'Sun-Synchronous Orbit', 'abbrev': 'SSO'}"
f8f2a91e-0d76-46f0-9110-8c45d85fab86,Falcon 9 Block 5 | Starlink Group 7-11,Launch Successful,2024-01-24T00:35:00Z,2024-01-24T04:35:00Z,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
206ec3ec-d265-4f74-b7c1-40ef231ef1d2,SpaceShipTwo | Galactic 06,Launch Successful,2024-01-26T15:00:00Z,2024-01-26T23:00:00Z,Virgin Galactic,Spaceport America,Air launch to Suborbital flight,"{'id': 15, 'name': 'Suborbital', 'abbrev': 'Sub'}"
3e3b4557-1f4f-46c3-9c6d-ed6fd0f66ef7,"Simorgh | Mahda, Keyhan-2 & Hatef-1",Launch Successful,2024-01-28T00:04:00Z,2024-01-28T00:04:00Z,Iranian Space Agency,Imam Khomeini Spaceport,"Semnan Space Center, Islamic Republic of Iran","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
378bd440-63df-48a6-97f7-c528a9a1968c,Falcon 9 Block 5 | Starlink Group 6-38,Launch Successful,2024-01-28T23:15:00Z,2024-01-29T02:55:00Z,SpaceX,Launch Complex 39A,"Kennedy Space Center, FL, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
20f597cc-eb98-4c7d-b137-87e048493c3e,Falcon 9 Block 5 | Starlink Group 7-12,Launch Successful,2024-01-29T02:16:50Z,2024-01-29T06:03:20Z,SpaceX,Space Launch Complex 4E,"Vandenberg SFB, CA, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
665678b9-8b91-45de-9e9c-5063622bcca1,Falcon 9 Block 5 | Cygnus CRS-2 NG-20 (S.S. Patricia “Patty” Hilliard Robertson),Launch Successful,2024-01-30T17:07:21Z,2024-01-30T17:07:21Z,SpaceX,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","{'id': 8, 'name': 'Low Earth Orbit', 'abbrev': 'LEO'}"
