neo_id,name,is_potentially_hazardous,close_approach_date,relative_velocity_km_s,miss_distance_km,orbiting_body,estimated_diameter_min_km,estimated_diameter_max_km
3625334,(2013 BB70),False,2024-Jan-17 21:55,11.1951374661,8713577.871311409,Earth,0.0439091446,0.0981838322
3752802,(2016 JN6),False,2024-Jan-17 17:29,4.8017902068,57312730.868758215,Earth,0.0175612318,0.0392681082
54101667,(2020 YA2),False,2024-Jan-17 05:13,19.5834740807,66021312.620005234,Earth,0.0060891262,0.0136157002
54103879,(2021 AA),False,2024-Jan-17 23:18,33.8265522146,59433743.860933309,Earth,0.0106795998,0.023880311
54165800,(2021 NM),False,2024-Jan-17 04:17,20.2782351733,73147519.864490492,Earth,0.0150853356,0.0337318359
54340106,(2023 BE4),False,2024-Jan-17 16:00,15.9147881343,10395738.465781826,Earth,0.0195233786,0.0436556017
54341464,(2023 CD1),False,2024-Jan-17 06:23,12.3523214148,72682987.631059698,Earth,0.0472666667,0.1056914799
54352304,(2023 FQ4),False,2024-Jan-17 16:59,7.2860272498,46622164.651504223,Earth,0.0079901508,0.0178665204
54406859,(2023 WY),False,2024-Jan-17 06:20,11.0960913703,27943073.058877664,Earth,0.1301832102,0.2910985075
54420790,(2024 AV4),False,2024-Jan-17 12:35,15.4652377206,3319016.506236637,Earth,0.0228325794,0.0510551996
54421064,(2024 BB),False,2024-Jan-17 16:55,16.9764923624,4035773.800283979,Earth,0.0157962856,0.0353215683
54421646,(2024 BS1),False,2024-Jan-17 00:41,16.4272227189,1188438.016816725,Earth,0.0090064777,0.0201390963
54423314,(2024 BV4),False,2024-Jan-17 00:48,15.877048151,10235839.46597107,Earth,0.058150704,0.130028927
2042286,42286 (2001 TN41),False,2024-Jan-16 20:43,9.8716047163,72441875.4482161,Earth,1.2547435637,2.8056919027
2508767,508767 (1993 BD2),False,2024-Jan-16 16:12,12.8547670552,74157207.335827985,Earth,0.6089126221,1.3615700154
3555069,(2010 XY82),False,2024-Jan-16 11:23,14.9486086174,45063985.401126273,Earth,0.3895426161,0.8710437698
3595919,(2012 BN1),False,2024-Jan-16 23:16,4.5504081108,10568966.905085748,Earth,0.0209196771,0.04677782
3771633,(2017 FZ2),False,2024-Jan-16 22:12,7.5576255394,43006441.983100552,Earth,0.0127219879,0.0284472297
3837793,(2019 AC9),False,2024-Jan-16 06:26,8.7626633043,8383329.09912978,Earth,0.0189913123,0.0424658654
54110699,(2021 CZ2),False,2024-Jan-16 23:26,14.3571187736,2990606.576113261,Earth,0.086011194,0.1923268766
54203026,(2021 TE3),False,2024-Jan-16 13:48,21.0752731141,73336422.570221534,Earth,0.0065849878,0.0147244804
54336061,(2022 YF2),False,2024-Jan-16 06:21,11.7900275899,20835115.108955836,Earth,0.0658498783,0.1472448042
54339976,(2023 BL2),False,2024-Jan-16 09:06,18.643373735,44168716.424518728,Earth,0.0039861623,0.0089133299
54419699,(2024 AU2),False,2024-Jan-16 17:27,18.4299804821,14899734.330960149,Earth,0.0872077289,0.19500241
54419806,(2024 AB3),False,2024-Jan-16 23:08,19.1811094579,2923141.751488946,Earth,0.013018321,0.0291098508
54419819,(2024 AO3),False,2024-Jan-16 01:40,10.006071287,23589761.742627021,Earth,0.0400456158,0.0895447192
54420445,(2024 AH4),False,2024-Jan-16 16:18,8.7922651754,5921972.979138215,Earth,0.0199781365,0.0446724713
