Company Name,Link to Company Wikipedia page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue (Billions USD),Net Income (Billions USD),Number of Employees,Market Cap (Billions USD),CEO,Founder(s),Founded (Year)
CVS Health,https://en.wikipedia.org/wiki/CVS_Health,Health Care,Health Care Services,"Woonsocket, Rhode Island","Managed healthcare, Health insurance, Pharmacy",357.8,8.344,300000,,David Joyner,Stanley P. GoldsteinSidney GoldsteinRalph P. Hoagland III,1963
Danaher Corporation,https://en.wikipedia.org/wiki/Danaher_Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",Conglomerate,23.9,4.76,63000,,Steven Rales,Steven RalesMitchell Rales,1969
Darden Restaurants,https://en.wikipedia.org/wiki/Darden_Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",Restaurant,11.4,1.03,191105,,Cynthia T. Jamison,William Darden,
DaVita,https://en.wikipedia.org/wiki/DaVita,Health Care,Health Care Services,"Denver, Colorado",Healthcare,12.14,0.956,70000,,Javier J. Rodriguez,,1979
Dayforce,https://en.wikipedia.org/wiki/Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota","Saa, S HCM Software",1.51,0.054799999999999995,9084,,David Ossip,,1992
Deckers Brands,https://en.wikipedia.org/wiki/Deckers_Brands,Consumer Discretionary,Footwear,"Goleta, California",,4.29,0.76,4800,,Michael Devine III,Karl F. LopkerDoug Otto,1973
Deere & Company,https://en.wikipedia.org/wiki/Deere_%26_Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois","Agricultural machinery, Heavy equipment",61.25,10.17,83000,,CEO & president),John Deere,1837
Dell Technologies,https://en.wikipedia.org/wiki/Dell_Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas","Computer hardware, Software, Cloud computing, Data storage, Information security Consulting",88.4,3.21,120000,,Michael Dell,Michael Dell,2016
Delta Air Lines,https://en.wikipedia.org/wiki/Delta_Air_Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",,58.1,4.6,,,Ed Bastian,C.E. Woolman,1925
Devon Energy,https://en.wikipedia.org/wiki/Devon_Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",Petroleum industry,15.258,3.747,1900,,Rick Muncrief,John NicholsJ. Larry Nichols,1971
Dexcom,https://en.wikipedia.org/wiki/Dexcom,Health Care,Health Care Equipment,"San Diego, California",,3.62,0.542,9600,,president & CEO),,1999
Diamondback Energy,https://en.wikipedia.org/wiki/Diamondback_Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",Petroleum industry,6.797,2.182,870,,Steven E. West,,
Digital Realty,https://en.wikipedia.org/wiki/Digital_Realty,Real Estate,Data Center REITs,"Austin, Texas",Real estate investment trust,4.69,2.47,3450,,Mary Hogan Preusse,,2004
Discover Financial,https://en.wikipedia.org/wiki/Discover_Financial,Financials,Consumer Finance,"Riverwoods, Illinois",Financial services,20.61,2.94,21100,,Michael Rhodes,Sears,1985
Dollar General,https://en.wikipedia.org/wiki/Dollar_General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",Discount retailer,37.885,2.416,170000,,Michael M. Calbert,James Luther TurnerCal Turner,1939
Dollar Tree,https://en.wikipedia.org/wiki/Dollar_Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia","Retail, variety, discount",25.509,1.341,65894,,Rick Dreiling[1],,1953
Dominion Energy,https://en.wikipedia.org/wiki/Dominion_Energy,Utilities,Multi-Utilities,"Richmond, Virginia",Electric utility,16.572,1.376,21000,,Robert Blue,,1983
Domino's,https://en.wikipedia.org/wiki/Domino%27s,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan","Foodservice, Franchising",4.479,0.5191,9250,,David A. Brandon,Jim MonaghanTom MonaghanDominick DeVarti,1960
Dover Corporation,https://en.wikipedia.org/wiki/Dover_Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",Conglomerate,8.44,1.06,25000,,CEO,,1955
Dow Inc.,https://en.wikipedia.org/wiki/Dow_Inc.,Materials,Commodity Chemicals,"Midland, Michigan",Chemicals,44.62,0.589,35900,,Jim Fitterling,Herbert Henry Dow,1897
D. R. Horton,https://en.wikipedia.org/wiki/D._R._Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",Home construction,36.8,4.76,14766,,David V. Auld,Donald Ray Horton,1978
DTE Energy,https://en.wikipedia.org/wiki/DTE_Energy,Utilities,Multi-Utilities,"Detroit, Michigan",Electric & Gas Utilities,19.288,1.083,10250,,Gerardo Norcia,,
Duke Energy,https://en.wikipedia.org/wiki/Duke_Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",Energy,29.06,2.735,27037,,President & CEO) Brian D. Savoy,James Buchanan DukeBenjamin Newton Duke,1904
DuPont,https://en.wikipedia.org/wiki/DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",Chemicals,12.1,0.462,24000,,,,1802
Eastman Chemical Company,https://en.wikipedia.org/wiki/Eastman_Chemical_Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",Manufacturing,9.21,0.894,14000,,Mark J. Costa,George Eastman,1920
Eaton Corporation,https://en.wikipedia.org/wiki/Eaton_Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",Conglomerate,20.75,2.46,85000,,President & CEO),Joseph Oriel Eaton IIViggo Torbensen,1911
eBay,https://en.wikipedia.org/wiki/EBay,Consumer Discretionary,Broadline Retail,"San Jose, California",E-commerce,10.11,2.767,12300,,Paul Pressler,Pierre Omidyar,1995
Ecolab,https://en.wikipedia.org/wiki/Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota","Chemicals, Service, Water Management, Food Safety, Infection Prevention",15.3,1.37,48000,,Christophe Beck,Merritt J. Osborn,1923
Edison International,https://en.wikipedia.org/wiki/Edison_International,Utilities,Electric Utilities,"Rosemead, California",Public Utility,14.905,0.925,14375,,Pedro J. Pizarro,,1886
Edwards Lifesciences,https://en.wikipedia.org/wiki/Edwards_Lifesciences,Health Care,Health Care Equipment,"Irvine, California",Medical technology[1],5.2,,14000,,Bernard J. Zovighian,,1958
Electronic Arts,https://en.wikipedia.org/wiki/Electronic_Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",Video games,7.56,1.27,13700,,Andrew Wilson,Trip Hawkins,1982
Elevance Health,https://en.wikipedia.org/wiki/Elevance_Health,Health Care,Managed Health Care,"Indianapolis, Indiana","Managed healthcare, Insurance",171.34,5.98,102300,,Elizabeth E. Tallett,,2004
Emerson Electric,https://en.wikipedia.org/wiki/Emerson_Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",Electrical equipment,17.49,1.968,73000,,Jim Turley,John W. Emerson,1890
Enphase Energy,https://en.wikipedia.org/wiki/Enphase_Energy,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",Renewable energy,2.29,0.439,3157,,Badri Kothandaraman,Raghu BelurMartin Fornage,2006
Entergy,https://en.wikipedia.org/wiki/Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",Energy industry,10.113,1.406,13504,,Andrew “Drew” Marsh,,1913
EOG Resources,https://en.wikipedia.org/wiki/EOG_Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",Petroleum industry,,,2900,,Ezra Y. Yacob,Mark G. Papa,1999
EPAM Systems,https://en.wikipedia.org/wiki/EPAM_Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",Software engineering,4.69,0.417,65149,,president & CEO),,1993
EQT Corporation,https://en.wikipedia.org/wiki/EQT_Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",Petroleum industry,6.909,1.735,881,,Lydia Beebe,"Michael, Obediah Haymaker",1888
Equifax,https://en.wikipedia.org/wiki/Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",Credit risk assessment,5.27,0.545,14900,,Mark L. Feidler,Cator WoolfordGuy Woolford,1899
Equinix,https://en.wikipedia.org/wiki/Equinix,Real Estate,Data Center REITs,"Redwood City, California",Internet,8.19,0.969,13151,,Adaire Fox-Martin,Jay AdelsonAl Avery,1998
Equity Residential,https://en.wikipedia.org/wiki/Equity_Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",Apartments,2.735,0.773,2400,,Mark J. Parrell,Sam Zell,1969
Erie Indemnity,https://en.wikipedia.org/wiki/Erie_Insurance_Group,Financials,Insurance Brokers,"Erie, Pennsylvania",Insurance,,,6481,,Timothy G. NeCastro,Ollie G. CrawfordinHenry Orth Hirt,1925
Essex Property Trust,https://en.wikipedia.org/wiki/Essex_Property_Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",Real estate investment trust,1.669,0.405,1750,,CEO & President,George M. Marcus,1971
Estée Lauder Companies (The),https://en.wikipedia.org/wiki/The_Est%C3%A9e_Lauder_Companies,Consumer Staples,Personal Care Products,"New York City, New York",Cosmetics,15.6,0.409,62000,,William P. Lauder,Estée LauderJoseph Lauder,1946
Everest Group,https://en.wikipedia.org/wiki/Everest_Group,Financials,Reinsurance,"Hamilton, Bermuda",Insurance,12.06,0.597,2428,,Juan C. Andrade,,1973
Evergy,https://en.wikipedia.org/wiki/Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",Electric utility,5.148,,4658,,David Campbell,,1882
Eversource Energy,https://en.wikipedia.org/wiki/Eversource_Energy,Utilities,Electric Utilities,"Hartford, Connecticut",Utility,9.86,1.23,9299,,CEO,,1966
Exelon,https://en.wikipedia.org/wiki/Exelon,Utilities,Electric Utilities,"Chicago, Illinois",Public utility,21.73,2.328,19962,,Calvin Butler,,2000
Expedia Group,https://en.wikipedia.org/wiki/Expedia_Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",Travel technology,12.8,0.688,17100,,Barry Diller,Rich Barton,1996
Expeditors International,https://en.wikipedia.org/wiki/Expeditors_International,Industrials,Air Freight & Logistics,"Seattle, Washington",Logistics,8.1,0.818,19588,,,,1979
Extra Space Storage,https://en.wikipedia.org/wiki/Extra_Space_Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",Real Estate Investment Trust,1.577,0.877,4048,,Kenneth Woolley,Kenneth Woolley,1977
ExxonMobil,https://en.wikipedia.org/wiki/ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",Energy,344.6,36.01,61500,,Darren Woods,Lucio NotoLee Raymond[2],1882
"F5, Inc.","https://en.wikipedia.org/wiki/F5,_Inc.",Information Technology,Communications Equipment,"Seattle, Washington",Technology,2.81,0.395,6524,,François Locoh-Donou,,1996
FactSet,https://en.wikipedia.org/wiki/FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut","Financial services, Technology",2.09,0.468,12237,,F. Philip Snow,Howard WilleCharles Snyder,1978
Fair Isaac,https://en.wikipedia.org/wiki/FICO,Information Technology,Application Software,"Bozeman, Montana",Computer,1.295,0.23641,3305,,William Lansing,,1956
Fastenal,https://en.wikipedia.org/wiki/Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",,7.25,1.16,23201,,Daniel L. Florness,Bob Kierlin,1967
Federal Realty Investment Trust,https://en.wikipedia.org/wiki/Federal_Realty_Investment_Trust,Real Estate,Retail REITs,"Rockville, Maryland",Real estate investment trust,0.951,0.269,315,,David Faeder,Samuel J. Gorlitz,1962
FedEx,https://en.wikipedia.org/wiki/FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee","E-commerce, Services, Transportation",87.69,4.331,505000,,Frederick W. Smith,Frederick W. Smith,1971
Fidelity National Information Services,https://en.wikipedia.org/wiki/FIS_(company),Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",Financial Sector,13.88,0.417,65000,,Stephanie Ferris,,1968
Fifth Third Bancorp,https://en.wikipedia.org/wiki/Fifth_Third_Bancorp,Financials,Regional Banks,"Cincinnati, Ohio","Banking, Investment banking, Financial services",,2.212,18724,,CEO and president)Bryan D. Preston,,1858
First Solar,https://en.wikipedia.org/wiki/First_Solar,Information Technology,Semiconductors,"Tempe, Arizona",Photovoltaics,3.58,0.5464199999999999,6400,,Michael J. Ahearn,,1999
FirstEnergy,https://en.wikipedia.org/wiki/FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",Electric Utility,12.9,1.123,12153,,CEO [1],,1997
Fiserv,https://en.wikipedia.org/wiki/Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",,17.7,2.58,42000,,Frank Bisignano,,1984
FMC Corporation,https://en.wikipedia.org/wiki/FMC_Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",Chemicals,5.05,0.734,6400,,Mark Douglas,John Bean,1883
Ford Motor Company,https://en.wikipedia.org/wiki/Ford_Motor_Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",Automotive,176.2,4.33,177000,,William Clay Ford Jr.,Henry Ford,1903
Fortinet,https://en.wikipedia.org/wiki/Fortinet,Information Technology,Systems Software,"Sunnyvale, California","Cloud Security, Cybersecurity, Network Security",5.3,1.15,13568,,Ken Xie,Ken XieMichael Xie,2000
Fortive,https://en.wikipedia.org/wiki/Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",Conglomerate,6.07,0.866,18000,,Alan Spoon,,2016
Fox Corporation (Class A),https://en.wikipedia.org/wiki/Fox_Corporation,Communication Services,Broadcasting,"New York City, New York",Media,13.98,1.501,10200,,Lachlan Murdoch,Rupert Murdoch,2019
Fox Corporation (Class B),https://en.wikipedia.org/wiki/Fox_Corporation,Communication Services,Broadcasting,"New York City, New York",Media,13.98,1.501,10200,,Lachlan Murdoch,Rupert Murdoch,2019
Franklin Resources,https://en.wikipedia.org/wiki/Franklin_Resources,Financials,Asset Management & Custody Banks,"San Mateo, California","Financial services, Investment management",7.85,0.883,9200,,Jennifer M. Johnson,Rupert H. Johnson Sr.,1947
Freeport-McMoRan,https://en.wikipedia.org/wiki/Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",Metals and Mining,22.9,1.85,27200,,Richard Adkerson,"Eric Pierson Swenson, et al",1912
Garmin,https://en.wikipedia.org/wiki/Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland","Technology, Consumer electronics, Software services, Online services",5.23,1.29,20000,,Cliff Pemble,Gary BurrellMin Kao,1989
Gartner,https://en.wikipedia.org/wiki/Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",Business services,5.91,0.882,20237,,Gene Hall,,1979
GE Aerospace,https://en.wikipedia.org/wiki/GE_Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",Aerospace,31.8,,52000,,H. Lawrence Culp Jr.,,1917
GE HealthCare,https://en.wikipedia.org/wiki/GE_HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",Healthcare,19.6,1.6,51000,,Peter Arduini,,1994
GE Vernova,https://en.wikipedia.org/wiki/GE_Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",Energy,33.2,0.4,80000,,Scott Strazik,,2024
Gen Digital,https://en.wikipedia.org/wiki/Gen_Digital,Information Technology,Systems Software,"Tempe, Arizona",Software,3.81,0.616,3400,,Frank E. Dangeard,Gary Hendrix,1982
Generac,https://en.wikipedia.org/wiki/Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",Manufacturing,4.02,0.217,8600,,Aaron Jagdfeld,Robert Kern[2],1959
General Dynamics,https://en.wikipedia.org/wiki/General_Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia","Aerospace, Defense, Shipbuilding",42.3,3.32,111600,,Phebe Novakovic,John Philip Holland,1893
General Mills,https://en.wikipedia.org/wiki/General_Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",Food processing,19.86,2.497,34000,,Jeffrey Harmening,Robert SmithCadwallader C. WashburnJohn CrosbyJames Ford Bell,1856
General Motors,https://en.wikipedia.org/wiki/General_Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",Automotive,171.8,9.84,163000,,Alfred P. SloanCEO,William C. Durant,1908
Genuine Parts Company,https://en.wikipedia.org/wiki/Genuine_Parts_Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",,,,48001,,Thomas C. Gallagher,"Carlyle, Malcolm Fraser",1925
Gilead Sciences,https://en.wikipedia.org/wiki/Gilead_Sciences,Health Care,Biotechnology,"Foster City, California","Pharmaceutics, Biotechnology",27.12,5.613,18000,,Daniel O'Day,Michael L. Riordan,1987
Global Payments,https://en.wikipedia.org/wiki/Global_Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",Payment processing,7.4,0.605,24000,,Cameron M. Bready,,2000
Globe Life,https://en.wikipedia.org/wiki/Globe_Life,Financials,Life & Health Insurance,"McKinney, Texas",Life insurance,5.2,0.7397039999999999,3636,,Matthew Darden,,1900
GoDaddy,https://en.wikipedia.org/wiki/GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona","Internet, IT consulting, SMEs",4.25,1.37,,,,Bob Parsons,1997
Goldman Sachs,https://en.wikipedia.org/wiki/Goldman_Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",Financial services,46.25,8.52,45300,,David M. Solomon,Marcus GoldmanSamuel Sachs,1869
Halliburton,https://en.wikipedia.org/wiki/Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",Fossil fuel,23.02,2.662,48000,,CEO and chairman of the board),Erle P. Halliburton,1919
Hartford (The),https://en.wikipedia.org/wiki/The_Hartford,Financials,Property & Casualty Insurance,"Hartford, Connecticut","Insurance, Mutual funds",24.5,2.5,18700,,Christopher J. Swift,,1810
Hasbro,https://en.wikipedia.org/wiki/Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",Toys and entertainment,5.86,0.2035,5600,,Richard Stoddart,Henry HassenfeldHillel HassenfeldHerman Hassenfeld,1923
HCA Healthcare,https://en.wikipedia.org/wiki/HCA_Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",Health care,60.23,3.759,309000,,Sam Hazen,"Thomas F. Frist Sr., Thomas F. Frist Jr., Jack C. Massey",1968
Healthpeak Properties,https://en.wikipedia.org/wiki/Healthpeak_Properties,Real Estate,Health Care REITs,"Denver, Colorado",Real estate investment trust,1.896,0.502,193,,Scott M. Brinker,,1985
Henry Schein,https://en.wikipedia.org/wiki/Henry_Schein,Health Care,Health Care Distributors,"Melville, New York",Health care supplies and services,12.3,0.416,25000,,Stanley M. Bergman,Henry Schein,1932
Hershey Company (The),https://en.wikipedia.org/wiki/The_Hershey_Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",Food processing,8.97,1.48,16620,,president and CEO)[3]Steven Voskuil,Milton S. Hershey,1894
Hess Corporation,https://en.wikipedia.org/wiki/Hess_Corporation,Energy,Integrated Oil & Gas,"New York City, New York",Oil and gas,11.3,2.09,1623,,John B. Hess,Leon Hess,1919
Hewlett Packard Enterprise,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",Information technology,29.1,2.03,62000,,Patricia Russo,,1939
Hilton Worldwide,https://en.wikipedia.org/wiki/Hilton_Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",Hospitality,11.2,1.15,178000,,Christopher J. Nassetta,Conrad Hilton,1919
Hologic,https://en.wikipedia.org/wiki/Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",Medical Technology,4.86,1.3,6944,,CEO)[2]Karleen Marie Oberton,,1985
Home Depot (The),https://en.wikipedia.org/wiki/Home_Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",Retail (home improvement),152.7,15.14,463100,,president & CEO),Bernard MarcusArthur BlankRon BrillPat FarrahKen Langone,1978
Honeywell,https://en.wikipedia.org/wiki/Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",Conglomerate,36.66,5.672,95000,,Darius Adamczyk,Mark C. Honeywell (for the Honeywell Inc. line),1906
Hormel Foods,https://en.wikipedia.org/wiki/Hormel_Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",Food processing,9.497,,20000,,President and CEO),George A. Hormel,1891
Host Hotels & Resorts,https://en.wikipedia.org/wiki/Host_Hotels_%26_Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",Real estate investment trust,5.311,0.752,163,,Richard E. Marriott,,1993
