Company Name,Link to Company Wikipedia page,GICS Sector,GICS Sub-Industry,Headquarters Location,Industry,Revenue (Billions USD),Net Income (Billions USD),Number of Employees,Market Cap (Billions USD),CEO,Founder(s),Founded (Year)
NiSource,https://en.wikipedia.org/wiki/NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",Public utility,5.51,0.662,7364,,Lloyd Yates,,1912
Nordson Corporation,https://en.wikipedia.org/wiki/Nordson_Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",,2.121,,6813,,Sundaram Nagarajan,Walter G. Nord,1954
Norfolk Southern Railway,https://en.wikipedia.org/wiki/Norfolk_Southern_Railway,Industrials,Rail Transportation,"Atlanta, Georgia",,,,,,,,
Northern Trust,https://en.wikipedia.org/wiki/Northern_Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",Financial services,6.59,1.46,35000,,Michael G. O'Grady,Byron Laflin Smith,1889
Northrop Grumman,https://en.wikipedia.org/wiki/Northrop_Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia","Aerospace, defense",39.3,2.06,101000,,Kathy J. Warden,,1994
Norwegian Cruise Line Holdings,https://en.wikipedia.org/wiki/Norwegian_Cruise_Line_Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",Tourism,8.549,0.16616999999999998,41000,,Harry Sommer,,2011
NRG Energy,https://en.wikipedia.org/wiki/NRG_Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",Electric utilities,28.82,0.202,18131,,Larry Coben,Seth Allen,1989
Nucor,https://en.wikipedia.org/wiki/Nucor,Materials,Steel,"Charlotte, North Carolina",Steel,34.71,4.525,32000,,& CEO)Steve Laxton,,1955
Nvidia,https://en.wikipedia.org/wiki/Nvidia,Information Technology,Semiconductors,"Santa Clara, California",Semiconductors,60.92,29.76,29600,,Jensen Huang,Jensen HuangChris MalachowskyCurtis Priem,1993
"NVR, Inc.","https://en.wikipedia.org/wiki/NVR,_Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",Home construction,,1.24,6600,,CEO,Dwight Schar,1980
NXP Semiconductors,https://en.wikipedia.org/wiki/NXP_Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",Semiconductors,13.3,2.82,34200,,Peter Bonfield,,2006
O'Reilly Auto Parts,https://en.wikipedia.org/wiki/O%27Reilly_Auto_Parts,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",Retail,15.81,2.346,90302,,Brad Beckham,Charles F. O'ReillyCharles H. O'Reilly,1957
Occidental Petroleum,https://en.wikipedia.org/wiki/Occidental_Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",Energy industry,26.314,2.332,11678,,CEO & President,,1920
Old Dominion,https://en.wikipedia.org/wiki/Old_Dominion_Freight_Line,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",Transportation,5.87,1.24,22902,,David S. Congdon,Earl Congdon Sr.Lillian Congdon,1934
Omnicom Group,https://en.wikipedia.org/wiki/Omnicom_Group,Communication Services,Advertising,"New York City, New York",Advertisingpublic relations,14.69,1.473,75900,,John D. Wren[2],Allen RosenshineMary C. Choksi[1]Keith ReinhardJohn Bernbach,1986
ON Semiconductor,https://en.wikipedia.org/wiki/ON_Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",Semiconductors,8.25,2.19,30000,,Alan Campbell,,1999
ONEOK,https://en.wikipedia.org/wiki/Oneok,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",Oil and gas,17.7,2.66,4775,,Pierce Norton,Ryan C. HaynesC.B. Ames,1906
Oracle Corporation,https://en.wikipedia.org/wiki/Oracle_Corporation,Information Technology,Application Software,"Austin, Texas","Enterprise software, Business software, Cloud computing, Computer hardware, Consulting",52.96,10.47,159000,,Larry Ellison,Larry EllisonBob MinerEd Oates[2],1977
Otis Worldwide,https://en.wikipedia.org/wiki/Otis_Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",Transport systems,14.21,1.406,71000,,Judy Marks,Elisha Otis (original Otis Elevator Company),1853
Paccar,https://en.wikipedia.org/wiki/Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington","Heavy equipment, Automotive, Engines, Powertrain, Truck components, Financial services, Information technology",33.32,4.601,32400,,Mark C. Pigott,William Pigott,1905
